Index,State,Year,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Studio_Percent_Change,One_Bedroom_Percent_Change,Two_Bedroom_Percent_Change,Three_Bedroom_Percent_Change,Four_Bedroom_Percent_Change
191,MN,2024,64369.724137931036,759.0229885057471,844.4942528735633,1065.1379310344828,1419.632183908046,1627.8275862068965,12.44593536082823,10.424588562410776,10.56927060339583,9.795624461058416,10.031932498892848
193,MO,2018,51641.387931034486,470.3534482758621,539.3362068965517,695.2672413793103,931.0862068965517,1058.6637931034484,-0.4288634206876307,-0.24077558439902225,-0.36074768664369206,-0.41124183970788764,-0.7636363636363663
194,MO,2019,51641.387931034486,479.9396551724138,550.3965517241379,707.8879310344828,945.3362068965517,1079.8706896551723,2.0380858122101886,2.050732861275817,1.8152285774510002,1.53047052941504,2.003175766459009
195,MO,2020,52381.93103448276,484.9913793103448,547.9396551724138,701.6293103448276,935.1724137931035,1065.0775862068965,1.0525748567528304,-0.4463866177990661,-0.8841259209645069,-1.075151150384368,-1.3698958208597678
196,MO,2021,52381.93103448276,513.1465517241379,569.5431034482758,729.3879310344828,968.3879310344828,1107.2413793103449,5.805293375282172,3.9426692468651936,3.95630859207019,3.5518067846607604,3.9587532072295373
197,MO,2022,52381.93103448276,541.8706896551724,588.8879310344828,750.4827586206897,992.2758620689655,1141.655172413793,5.597648047039061,3.3965519851060444,2.8921273150610327,2.466772898435887,3.1080660230457635
198,MO,2023,52794.48275862069,604.4137931034483,645.4310344827586,819.5,1079.698275862069,1248.2155172413793,11.542071686526544,9.601674693680362,9.196379342032724,8.810293299972205,9.333846804397727
199,MO,2024,52794.48275862069,666.6551724137931,702.1379310344828,886.7844827586207,1164.6206896551723,1344.353448275862,10.297809219534471,8.785895552290635,8.210431087080018,7.86538384765858,7.702029794258003
201,MS,2018,36186.54878048781,503.3048780487805,567.1829268292682,701.3536585365854,924.4268292682926,1032.8536585365853,-1.9481599391793836,-3.2513729405891256,-3.0086853866261865,-2.6394204834442214,-2.2517167753477008
202,MS,2019,36186.54878048781,506.280487804878,559.390243902439,692.0,905.0365853658536,1019.7439024390244,0.5912141697560047,-1.373927626910909,-1.3336579089217704,-2.097542313628742,-1.269275273336945
203,MS,2020,36417.01219512195,524.2926829268292,569.3414634146342,703.3048780487804,915.5853658536586,1043.0243902439024,3.5577502107671855,1.7789404839764655,1.633652897222615,1.1655639847466093,2.282973965247126
204,MS,2021,36417.01219512195,552.7560975609756,589.7073170731708,727.1341463414634,940.560975609756,1072.5487804878048,5.428917007815404,3.577089491496377,3.388184702883601,2.7278297237539606,2.8306519502385052
205,MS,2022,36417.01219512195,577.8170731707318,613.5731707317074,749.2682926829268,971.4268292682926,1090.219512195122,4.533821647619485,4.047067582099428,3.0440251572326993,3.2816430256982,1.647545736733802
206,MS,2023,36363.84146341463,639.9268292682926,671.6219512195122,816.1219512195122,1051.8048780487804,1178.1463414634147,10.749034423080971,9.460775545087753,8.922526041666679,8.274225742872577,8.065057383834095
207,MS,2024,36363.84146341463,760.5365853658536,794.1341463414634,957.6463414634146,1226.7682926829268,1366.6707317073171,18.847429203033883,18.2412434405244,17.341083649621947,16.63458862814211,16.00178039085789
209,MT,2018,17668.125,533.9464285714286,604.4821428571429,757.7142857142857,1024.4107142857142,1240.0535714285713,4.432103939647947,4.987128989237988,6.106526631657894,5.708599753081867,6.22093734703868
210,MT,2019,17668.125,520.5714285714286,589.5178571428571,749.1071428571429,1005.375,1213.232142857143,-2.50493294538644,-2.4755546364952363,-1.1359351432880693,-1.85821116669862,-2.162924988839754
211,MT,2020,18390.178571428572,560.7857142857143,635.5714285714286,809.0178571428571,1080.9285714285713,1286.3035714285713,7.725027442371024,7.812074031442173,7.997616209773528,7.514964210227171,6.022872786682543
212,MT,2021,18390.178571428572,587.625,654.4285714285714,831.2142857142857,1108.3035714285713,1300.4464285714287,4.786014520443249,2.9669588671611624,2.743626531287946,2.532544769708589,1.0994960643038842
213,MT,2022,18390.178571428572,581.8928571428571,648.1071428571429,819.1964285714286,1099.1785714285713,1279.0892857142858,-0.9754763424195567,-0.9659462999345059,-1.4458193692532428,-0.8233303794409119,-1.6422931685547537
214,MT,2023,18959.01785714286,642.5178571428571,708.625,892.3214285714286,1195.892857142857,1401.625,10.418584668262444,9.337631564445914,8.926430517711182,8.798778308477107,9.579918747993133
215,MT,2024,18959.01785714286,692.9285714285714,764.9464285714286,959.6071428571429,1283.1964285714287,1507.1964285714287,7.845807509518932,7.947987803341472,7.540524314588759,7.300283709123501,7.53207374093845
