Index,Year,State,County,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom
196,2024,CA,Fresno County,990204,1149.0,1157.0,1443.0,2033.0,2330.0
197,2024,CA,Glenn County,28060,771.0,866.0,1138.0,1484.0,1846.0
198,2024,CA,Humboldt County,136101,950.0,1032.0,1352.0,1905.0,2294.0
199,2024,CA,Imperial County,180580,872.0,1001.0,1286.0,1771.0,2138.0
200,2024,CA,Inyo County,17930,924.0,1079.0,1363.0,1648.0,2237.0
201,2024,CA,Kern County,892458,960.0,967.0,1258.0,1773.0,2135.0
202,2024,CA,Kings County,151090,1080.0,1087.0,1371.0,1932.0,2310.0
203,2024,CA,Lake County,64276,928.0,964.0,1267.0,1785.0,2150.0
204,2024,CA,Lassen County,30600,760.0,853.0,1121.0,1580.0,1789.0
205,2024,CA,Los Angeles County,10040682,1777.0,2006.0,2544.0,3263.0,3600.0
206,2024,CA,Madera County,155925,1083.0,1090.0,1432.0,1998.0,2208.0
207,2024,CA,Marin County,259441,2292.0,2818.0,3359.0,4112.0,4473.0
208,2024,CA,Mariposa County,17319,891.0,1010.0,1218.0,1716.0,2067.0
209,2024,CA,Mendocino County,87110,1119.0,1132.0,1488.0,2097.0,2525.0
210,2024,CA,Merced County,273661,994.0,1159.0,1420.0,1995.0,2410.0
211,2024,CA,Modoc County,8853,660.0,802.0,958.0,1158.0,1572.0
212,2024,CA,Mono County,14395,1000.0,1292.0,1450.0,2043.0,2380.0
213,2024,CA,Monterey County,432977,2340.0,2367.0,2879.0,3990.0,4400.0
214,2024,CA,Napa County,138572,1819.0,2043.0,2684.0,3634.0,3915.0
215,2024,CA,Nevada County,99417,1209.0,1217.0,1596.0,2249.0,2708.0
216,2024,CA,Orange County,3170345,2200.0,2344.0,2783.0,3769.0,4467.0
217,2024,CA,Placer County,391799,1543.0,1666.0,2072.0,2884.0,3321.0
218,2024,CA,Plumas County,18844,803.0,887.0,1165.0,1642.0,1867.0
219,2024,CA,Riverside County,2437864,1517.0,1611.0,2010.0,2707.0,3304.0
220,2024,CA,Sacramento County,1537948,1543.0,1666.0,2072.0,2884.0,3321.0
221,2024,CA,San Benito County,61547,1707.0,1917.0,2519.0,3550.0,4121.0
222,2024,CA,San Bernardino County,2162532,1517.0,1611.0,2010.0,2707.0,3304.0
223,2024,CA,San Diego County,3323970,2062.0,2248.0,2833.0,3819.0,4638.0
224,2024,CA,San Francisco County,874784,2292.0,2818.0,3359.0,4112.0,4473.0
225,2024,CA,San Joaquin County,751615,1122.0,1245.0,1607.0,2265.0,2727.0
226,2024,CA,San Luis Obispo County,282517,1541.0,1731.0,2274.0,3045.0,3465.0
227,2024,CA,San Mateo County,765623,2292.0,2818.0,3359.0,4112.0,4473.0
228,2024,CA,Santa Barbara County,444895,2330.0,2651.0,2994.0,3996.0,4528.0
229,2024,CA,Santa Clara County,1924379,2383.0,2694.0,3132.0,4011.0,4425.0
230,2024,CA,Santa Cruz County,273170,2849.0,3085.0,4054.0,5000.0,5504.0
231,2024,CA,Shasta County,179267,1014.0,1132.0,1487.0,2095.0,2523.0
232,2024,CA,Sierra County,2898,911.0,1005.0,1321.0,1862.0,2168.0
233,2024,CA,Siskiyou County,43516,838.0,843.0,1089.0,1535.0,1620.0
234,2024,CA,Solano County,444538,1652.0,1853.0,2308.0,3199.0,3643.0
235,2024,CA,Sonoma County,496801,1611.0,1809.0,2377.0,3228.0,3425.0
236,2024,CA,Stanislaus County,546235,1143.0,1188.0,1528.0,2153.0,2536.0
237,2024,CA,Sutter County,96315,1125.0,1132.0,1461.0,2059.0,2479.0
238,2024,CA,Tehama County,64176,844.0,948.0,1245.0,1695.0,2010.0
239,2024,CA,Trinity County,12541,710.0,784.0,1030.0,1451.0,1657.0
240,2024,CA,Tulare County,463955,977.0,989.0,1299.0,1809.0,2065.0
241,2024,CA,Tuolumne County,54147,919.0,1032.0,1356.0,1795.0,2301.0
242,2024,CA,Ventura County,845599,1725.0,2011.0,2414.0,3310.0,3867.0
